TEAM,MEMBER,ORDER,TYPE,ICEDASH,SNOWRALLY,SPEEDSKAT,SNOWBOARD,BIATHLON,SANDMGL
JAWBREAKERS,TAFFY,2,2018.3,,,,,,
JAWBREAKERS,SUGAR,3,2018.3,,,,,,
JAWBREAKERS,SWEET,4,2018.3,,,,,,
JUNGLE JUMPERS,JUNGLE JUMPERS,,2018.3,,,,,,
JUNGLE JUMPERS,HOP,1,2018.3,,,,,,
JUNGLE JUMPERS,LEAP,2,2018.3,,,,,,
JUNGLE JUMPERS,JUMP,3,2018.3,,,,,,
JUNGLE JUMPERS,SKIP,4,2018.3,,,,,,
KOBALTS,KOBALTS,,2018.3,,,,,,
KOBALTS,AZURE,1,2018.3,,,,,,
KOBALTS,GNOME,2,2018.3,,,,,,
KOBALTS,MEEPO,3,2018.3,,,,,,
KOBALTS,CERULEAN,4,2018.3,,,,,,
TEAM PLASMA,TEAM PLASMA,,2018.3,,,,,,
TEAM PLASMA,PHANTO,1,2018.3,,,,,,
TEAM PLASMA,FEARO,2,2018.3,,,,,,
TEAM PLASMA,GLOOMO,3,2018.3,,,,,,
TEAM PLASMA,ECTO,4,2018.3,,,,,,
TEAM PRIMARY,TEAM PRIMARY,,2018.3,,,,,,
TEAM PRIMARY,MARY,1,2018.3,,,,,,
TEAM PRIMARY,IMAR,2,2018.3,,,,,,
TEAM PRIMARY,RIMA,3,2018.3,,,,,,
TEAM PRIMARY,PRIM,4,2018.3,,,,,,
QUICKSILVERS,QUICKSILVERS,,2018.3,,,,,,
QUICKSILVERS,ARGENT,1,2018.3,,,,,,
QUICKSILVERS,MERCURIAL,2,2018.3,,,,,,
QUICKSILVERS,QUIX,3,2018.3,,,,,,
QUICKSILVERS,SILVERY,4,2018.3,,,,,,
ROJO ROLLERS,ROJO ROLLERS,,2018.3,,,,,,
ROJO ROLLERS,ROJO UNO,1,2018.3,,,,,,
ROJO ROLLERS,ROJO DOS,2,2018.3,,,,,,
ROJO ROLLERS,ROJO TRES,3,2018.3,,,,,,
ROJO ROLLERS,ROJO CUATRO,4,2018.3,,,,,,
SHINING SWARM,SHINING SWARM,,2018.3,,,,,,
SHINING SWARM,SHINY,1,2018.3,,,,,,
SHINING SWARM,SPARKLE,2,2018.3,,,,,,
SHINING SWARM,SHIMMER,3,2018.3,,,,,,
SHINING SWARM,STERLING,4,2018.3,,,,,,
BALLS OF CHAOS,BALLS OF CHAOS,,2018.01,5.65E-05,DNF,,,,
BALLS OF CHAOS,ANARCHY,1,2018.01,,DNF,,,,
BALLS OF CHAOS,TUMULT,2,2018.01,5.65E-05,,,,,
BALLS OF CHAOS,CLUTTER,3,2018.01,,,,,,
BALLS OF CHAOS,SNARL,4,2018.01,,,,,,
CRAZY CAT'S EYES,CRAZY CAT'S EYES,,2018.01,5.71E-05,0.000245486,,,,
CRAZY CAT'S EYES,GREEN EYE,1,2018.01,,,,,,
CRAZY CAT'S EYES,YELLOW EYE,2,2018.01,5.71E-05,,,,,
CRAZY CAT'S EYES,BLUE EYE,3,2018.01,,0.000245486,,,,
CRAZY CAT'S EYES,RED EYE,4,2018.01,,,,,,
TEAM GALACTIC,TEAM GALACTIC,,2018.01,5.68E-05,0.000220602,,,,
TEAM GALACTIC,COSMO,1,2018.01,,,,,,
TEAM GALACTIC,STARRY,2,2018.01,,,,,,
TEAM GALACTIC,ASTRON,3,2018.01,,0.000220602,,,,
TEAM GALACTIC,PULSAR,4,2018.01,5.68E-05,,,,,
HAZERS,HAZERS,,2018.01,5.58E-05,0.000235301,,,,
HAZERS,HAZY,1,2018.01,5.58E-05,,,,,
HAZERS,SMOGGY,2,2018.01,,0.000235301,,,,
HAZERS,FOGGY,3,2018.01,,,,,,
HAZERS,MISTY,4,2018.01,,,,,,
LIMERS,LIMERS,,2018.01,5.67E-05,DNF,,,,
LIMERS,SUBLIME,1,2018.01,,,,,,
LIMERS,SLIMELIME,2,2018.01,5.67E-05,,,,,
LIMERS,GOOLIME,3,2018.01,,DNF,,,,
LIMERS,LEMONLIME,4,2018.01,,,,,,
MELLOW YELLOW,MELLOW YELLOW,,2018.01,5.72E-05,DNF,,,,
MELLOW YELLOW,YELLAH,1,2018.01,,,,,,
MELLOW YELLOW,YELLOW,2,2018.01,,,,,,
MELLOW YELLOW,YELLEY,3,2018.01,,,,,,
MELLOW YELLOW,YELLUP,4,2018.01,5.72E-05,,,,,
MIDNIGHT WISPS,MIDNIGHT WISPS,,2018.01,5.79E-05,0.00027963,,,,
MIDNIGHT WISPS,WESPY,1,2018.01,5.79E-05,,,,,
MIDNIGHT WISPS,WISPY,2,2018.01,,,,,,
MIDNIGHT WISPS,WOSPY,3,2018.01,,,,,,
MIDNIGHT WISPS,WUSPY,4,2018.01,,0.00027963,,,,
MINTY MANIACS,MINTY MANIACS,,2018.01,5.73E-05,0.000226736,,,,
MINTY MANIACS,MINTY DRIZZEL,1,2018.01,,0.000226736,,,,
MINTY MANIACS,MINTY FLAV,2,2018.01,,,,,,
MINTY MANIACS,MINTY FRESH,3,2018.01,5.73E-05,,,,,
MINTY MANIACS,MINTY SWIRL,4,2018.01,,,,,,
TEAM MOMO,TEAM MOMO,,2018.01,5.67E-05,0.000266667,,,,
TEAM MOMO,MO,1,2018.01,,,,,,
TEAM MOMO,MOMO,2,2018.01,,0.000266667,,,,
TEAM MOMO,MOMOMO,3,2018.01,,,,,,
TEAM MOMO,MOMOMOMO,4,2018.01,,,,,,
TEAM MOMO,MIMO,5,2018.01,5.67E-05,,,,,
OCEANICS,OCEANICS,,2018.01,5.81E-05,DNF,,,,
OCEANICS,AQUA,1,2018.01,,,,,,
OCEANICS,SEA,2,2018.01,5.81E-05,,,,,
OCEANICS,SHORE,3,2018.01,,DNF,,,,
OCEANICS,OCEAN,4,2018.01,,,,,,
O'RANGERS,O'RANGERS,,2018.01,5.81E-05,DNF,,,,
O'RANGERS,CLEMENTIN,1,2018.01,,,,,,
O'RANGERS,KINNOWIN,2,2018.01,5.81E-05,,,,,
O'RANGERS,MANDARIN,3,2018.01,,,,,,
O'RANGERS,TANGERIN,4,2018.01,,,,,,
PINKIES,PINKIES,,2018.01,5.91E-05,0.000261458,,,,
PINKIES,PINKY WINKY,1,2018.01,,0.000261458,,,,
PINKIES,PINKY DINK,2,2018.01,,,,,,
PINKIES,PINKY ROSA,3,2018.01,5.91E-05,,,,,
PINKIES,PINKY TOE,4,2018.01,,,,,,
RASPBERRY RACERS,RASPBERRY RACERS,,2018.01,5.64E-05,DNF,,,,
RASPBERRY RACERS,RAZZY,1,2018.01,5.64E-05,,,,,
RASPBERRY RACERS,REZZY,2,2018.01,,,,,,
RASPBERRY RACERS,RIZZY,3,2018.01,,DNF,,,,
RASPBERRY RACERS,ROZZY,4,2018.01,,,,,,
RASPBERRY RACERS,RUZZY,5,2018.01,,,,,,
SAVAGE SPEEDERS,SAVAGE SPEEDERS,,2018.01,5.73E-05,DNF,,,,
SAVAGE SPEEDERS,SPEEDY,1,2018.01,,,,,,
SAVAGE SPEEDERS,RAPIDLY,2,2018.01,,,,,,
SAVAGE SPEEDERS,SWIFTY,3,2018.01,5.73E-05,,,,,
SAVAGE SPEEDERS,WHIZZY,4,2018.01,,,,,,
SNOWBALLS,SNOWBALLS,,2018.01,5.61E-05,DNF,,,,
SNOWBALLS,SNOW,1,2018.01,5.61E-05,,,,,
SNOWBALLS,SNOWY,2,2018.01,,,,,,
SNOWBALLS,SNOWFLAKE,3,2018.01,,,,,,
SNOWBALLS,SNOWSTORM,4,2018.01,,,,,,
THUNDERBOLTS,THUNDERBOLTS,,2018.01,5.72E-05,DNF,,,,
THUNDERBOLTS,BOLTA,1,2018.01,,DNF,,,,
THUNDERBOLTS,BOLTO,2,2018.01,,,,,,
THUNDERBOLTS,BOLTU,3,2018.01,5.72E-05,,,,,
THUNDERBOLTS,BOLTY,4,2018.01,,,,,,
BLACK JACKS,BLACK JACKS,,2018.01,5.82E-05,DNF,,,,
BLACK JACKS,CLUB,1,2018.01,,,,,,
BLACK JACKS,SPADE,2,2018.01,,,,,,
BLACK JACKS,HEART,3,2018.01,5.82E-05,,,,,
BLACK JACKS,DIAMOND,4,2018.01,,DNF,,,,
CHOCOLATIERS,CHOCOLATIERS,,2018.01,5.84E-05,0.000274769,,,,
CHOCOLATIERS,COCOA,1,2018.01,,,,,,
CHOCOLATIERS,CHOC,2,2018.01,5.84E-05,,,,,
CHOCOLATIERS,MOCHA,3,2018.01,,,,,,
CHOCOLATIERS,BONBON,4,2018.01,,0.000274769,,,,
GLIDING GLACIERS,GLIDING GLACIERS,,2018.01,5.82E-05,DNF,,,,
GLIDING GLACIERS,GLIDE,1,2018.01,,,,,,
GLIDING GLACIERS,GLIDY,2,2018.01,,DNF,,,,
GLIDING GLACIERS,GLACIE,3,2018.01,5.82E-05,,,,,
GLIDING GLACIERS,GLACIER,4,2018.01,,,,,,
GOLDEN ORBS,GOLDEN ORBS,,2018.01,5.68E-05,0.000267708,,,,
GOLDEN ORBS,ORBY,1,2018.01,,,,,,
GOLDEN ORBS,GLORBY,2,2018.01,5.68E-05,,,,,
GOLDEN ORBS,GORBY,3,2018.01,,0.000267708,,,,
GOLDEN ORBS,GOLDBY,4,2018.01,,,,,,
JAWBREAKERS,JAWBREAKERS,,2018.01,5.84E-05,0.000233796,,,,
JAWBREAKERS,CANDY,1,2018.01,,,,,,
JAWBREAKERS,TAFFY,2,2018.01,5.84E-05,,,,,
JAWBREAKERS,SUGAR,3,2018.01,,0.000233796,,,,
JAWBREAKERS,SWEET,4,2018.01,,,,,,
JUNGLE JUMPERS,JUNGLE JUMPERS,,2018.01,5.89E-05,0.000267014,,,,
JUNGLE JUMPERS,HOP,1,2018.01,,0.000267014,,,,
JUNGLE JUMPERS,LEAP,2,2018.01,,,,,,
JUNGLE JUMPERS,JUMP,3,2018.01,,,,,,
JUNGLE JUMPERS,SKIP,4,2018.01,5.89E-05,,,,,
KOBALTS,KOBALTS,,2018.01,5.72E-05,0.000283102,,,,
KOBALTS,AZURE,1,2018.01,5.72E-05,,,,,
KOBALTS,GNOME,2,2018.01,,,,,,
KOBALTS,MEEPO,3,2018.01,,0.000283102,,,,
KOBALTS,CERULEAN,4,2018.01,,,,,,
TEAM PLASMA,TEAM PLASMA,,2018.01,5.90E-05,DNF,,,,
TEAM PLASMA,PHANTO,1,2018.01,,,,,,
TEAM PLASMA,FEARO,2,2018.01,,DNF,,,,
TEAM PLASMA,GLOOMO,3,2018.01,,,,,,
TEAM PLASMA,ECTO,4,2018.01,5.90E-05,,,,,
TEAM PRIMARY,TEAM PRIMARY,,2018.01,5.81E-05,DNF,,,,
TEAM PRIMARY,MARY,1,2018.01,5.81E-05,,,,,
TEAM PRIMARY,IMAR,2,2018.01,,,,,,
TEAM PRIMARY,RIMA,3,2018.01,,DNF,,,,
TEAM PRIMARY,PRIM,4,2018.01,,,,,,
QUICKSILVERS,QUICKSILVERS,,2018.01,6.04E-05,0.000248843,,,,
QUICKSILVERS,ARGENT,1,2018.01,,,,,,
QUICKSILVERS,MERCURIAL,2,2018.01,,,,,,
QUICKSILVERS,QUIX,3,2018.01,,0.000248843,,,,
QUICKSILVERS,SILVERY,4,2018.01,6.04E-05,,,,,
ROJO ROLLERS,ROJO ROLLERS,,2018.01,5.87E-05,0.00025463,,,,
ROJO ROLLERS,ROJO UNO,1,2018.01,,0.00025463,,,,
ROJO ROLLERS,ROJO DOS,2,2018.01,,,,,,
ROJO ROLLERS,ROJO TRES,3,2018.01,5.87E-05,,,,,
ROJO ROLLERS,ROJO CUATRO,4,2018.01,,,,,,
SHINING SWARM,SHINING SWARM,,2018.01,6.05E-05,DNF,,,,
SHINING SWARM,SHINY,1,2018.01,,,,,,
SHINING SWARM,SPARKLE,2,2018.01,6.05E-05,,,,,
SHINING SWARM,SHIMMER,3,2018.01,,,,,,
SHINING SWARM,STERLING,4,2018.01,,DNF,,,,
